title,city,region,category,subcategory,description
skarpety damskie 39/41,Małopolskie,Kraków,Moda,Dodatki,"Zamienię skarpety damskie 39/41 , 100% bawełna , nowe z metką"
duża świnka skarbonka do malowania z gipsu,Śląskie,Bielsko-Biała,Dla Dzieci,Zabawki,"Duża skarbonka gipsowa w kształcie świnki do malowania,"
Samsung ace zamienie na inny tel dotykowy,Łódzkie,Łódź,Elektronika,Samsung,Telefon sprawny poprostu mi sie znudzil  zamienie na inny dotykowy czekam na propozycje
Zamienię pomiot kurzy na słomę,Zachodniopomorskie,Choszczno,Rolnictwo,Produkty rolne,Zamienię pomiot kurzy na słomę.
Doradca Klienta Czechowice-Dziedzice i okolice - gwarantowane zarobki,Śląskie,Czechowice-Dziedzice,Praca,Przedstawiciel handlowy,Dołącz do zespołu i zarabiaj z nami!
Epoka lodowcowa,Wielkopolskie,Poznań,Dla Dzieci,Zabawki,Witam   figurki z epoki lodowcowej
"MEGA PACZKA - 4,5 zł za sztukę! H&amp;amp;M, D&amp;amp;G, Orsay, VILA, Kenzo ...",Zachodniopomorskie,Szczecin,Moda,Ubrania,"27 firmowych ciuchów - TYLKO 4,5 zł ZA SZTUKĘ"
Buty dziecięce 27,Wielkopolskie,Gniezno,Dla Dzieci,Buciki,Buciki ze skóry lasocki kids stan nowe nie używane w środku korzuszek ocieplane
torebki PUMA ferrari fitness jamajka,Łódzkie,Piotrków Trybunalski,Moda,Dodatki,Sprzedam lub zamienie.
Komplet dla chłopca,Zachodniopomorskie,Szczecin,Dla Dzieci,Ubranka dla dzieci,komplet dla chłopca:
"FSP 223-3F01 ,3BS0 1* 8* 2* 8 *1* 5 GP zasilacz do tv LCD.",Lubelskie,Lublin,Elektronika,Telewizory,Zasilacz pochodzi ze sprawnego tv Grundig model 3 7 - 6 9 5 0  T.Pasuje również do innych modeli.100% sprawny.
samsung galaxy grand prime 2xbateria,Małopolskie,Limanowa,Elektronika,Samsung,"witam ,"
Płaszcz Tally Weijl,Mazowieckie,Radom,Moda,Ubrania,Sprzedam płaszcz firmy Tally Weijl rozmiar z metki 40 ale spokojnie też na M
Lakiery do paznokci Wibo,Podkarpackie,Mielec,Moda,Kosmetyki i perfumy,Zamienię lakiery na pyłek lustrzany do ozdabiania.
Oryginalne spodnie Wrangler szare dla 8-9 latka USA!!!,Małopolskie,Sucha Beskidzka,Dla Dzieci,Ubranka dla dzieci,Witam na mojej aukcji!
"Szalik chusta wrzosowy, turkusowy, panterka",Małopolskie,Kraków,Moda,Dodatki,"Cześć,"
"czarna skórzana kurtka, ramoneska",Podlaskie,Bielsk Podlaski,Moda,Ubrania,"Oferuję na sprzedaż czarną kurtkę z ekoskóry w rozmiarze M. Rzadko noszona, wisi w szafie i zalega, a może akurat Tobie się przyda ;)"
Kurtka zimowa 92 mariguita,Świętokrzyskie,Kielce,Dla Dzieci,Ubranka dla dzieci,Sprzedam kurtkę zimowa kurtka duże 92 raczej jak 98 stan kurki dobry naklejka z tyłu kurtki sprała się troszkę nie przeszkadza to w użytku polecam
Calvin Klein Quillon Trampki Zimowe 42 Prawie jak NOWE,Kujawsko-pomorskie,Włocławek,Moda,Buty,Sprzedam trampki zimowe marki Calvin Klein rozmiar 42 długość wkładki 27 cm. Buty są ocieplane zostały założone dwa razy - nietrafiony zakup z rozmiarem. Buty zakupione w USA
"Opracowania lektur dla klas od 1 do 3 gimnazjum Ewa Lech, St.Tarkowski",Małopolskie,Rabka-Zdrój,Muzyka i Edukacja,Podręczniki szkolne,Opracowania lektur dla gimnazjum.
